Rude/Agressive_C,Emotive_C,Perceptive_C,Social_C,Friendly_C,Negative_C,Positive_C,Confrontational_C,Indecisive_C,Selfish_C,Rude/Agressive_I,Emotive_I,Perceptive_I,Social_I,Friendly_I,Negative_I,Positive_I,Confrontational_I,Indecisive_I,Selfish_I
7,4,5,9,0,3,2,37,17,11,3,3,4,7,0,2,1,34,13,28
1,2,4,7,1,1,3,42,18,16,2,2,3,5,0,2,1,31,5,44
2,2,5,7,0,2,1,46,16,13,2,2,3,7,0,1,1,25,11,42
2,3,6,9,0,2,2,32,15,25,1,2,3,6,0,1,2,22,12,47
2,3,6,8,2,3,4,41,18,9,2,3,1,5,1,3,1,25,7,47
2,1,7,10,0,2,1,36,21,15,1,1,4,6,0,1,1,36,11,35
0,3,14,5,1,1,3,30,13,23,1,2,4,7,0,1,1,30,10,39
1,1,6,5,5,0,1,46,9,21,1,1,6,7,0,1,1,46,12,21
0,0,0,0,0,0,0,66,0,0,1,3,5,8,1,2,2,29,11,33
1,5,5,5,0,2,4,32,13,27,1,4,4,5,0,2,2,28,9,40
2,3,5,9,0,2,2,39,14,19,1,2,3,6,0,1,1,27,9,46
2,5,9,13,1,4,4,27,16,14,0,3,4,6,0,2,1,40,13,26
4,5,7,11,0,5,4,38,14,7,1,3,3,7,1,1,2,41,11,25
3,4,7,6,0,4,2,40,16,13,2,3,2,4,0,2,1,28,8,45
0,3,6,11,1,0,4,36,10,25,0,2,4,7,0,1,1,32,12,36
1,4,6,9,0,2,4,34,20,15,1,3,3,6,0,2,1,17,5,56
5,5,11,18,0,6,3,22,17,7,0,2,5,6,0,1,1,40,10,31
1,2,6,10,0,2,1,37,13,22,0,3,4,5,0,1,2,38,8,32
2,2,7,12,1,1,2,32,14,23,1,1,6,10,0,1,0,27,6,44
1,4,8,12,0,2,3,37,15,13,1,4,4,9,0,2,2,18,10,45
0,0,23,0,0,0,0,14,14,42,2,3,7,7,0,1,2,30,9,34
1,1,5,9,0,1,3,52,12,10,1,1,3,9,0,0,1,33,7,39
3,4,7,12,0,4,6,30,19,12,2,2,3,6,0,2,1,38,10,30
1,2,10,7,0,2,0,51,14,8,1,3,5,10,1,1,2,36,12,24
2,2,4,7,1,4,2,44,12,17,2,3,2,7,0,2,1,30,10,37
4,3,5,8,0,4,1,42,16,13,2,3,4,6,0,2,1,38,9,30
0,3,10,2,0,1,1,40,7,31,1,2,5,6,0,2,1,31,10,37
2,3,5,10,0,2,3,41,15,15,1,1,2,9,0,2,0,40,7,32
2,5,7,13,0,2,4,33,13,16,1,5,3,10,0,2,4,31,9,30
0,8,7,8,0,0,12,29,19,14,1,2,5,8,0,1,2,49,11,18
3,3,8,8,0,2,3,40,14,14,2,2,4,5,1,2,1,25,5,49
4,5,7,8,0,5,2,35,11,18,1,3,4,7,1,3,2,19,9,46
0,2,0,7,0,0,2,28,21,34,1,2,6,6,0,1,1,43,14,20
2,4,6,9,0,2,3,43,14,12,1,2,4,7,0,1,1,21,8,50
2,3,7,10,0,3,2,36,18,15,1,2,3,5,0,2,0,20,8,54
3,2,6,13,0,1,2,38,15,16,2,4,2,8,0,2,2,32,8,33
1,3,6,10,0,1,3,37,15,18,0,2,4,6,1,1,1,27,8,45
3,3,10,13,0,3,1,33,18,11,2,2,3,4,0,1,2,41,11,29
3,5,5,8,0,3,3,45,14,9,1,2,2,10,0,1,2,37,9,30
1,3,7,8,0,2,4,41,12,17,1,2,5,10,0,1,2,16,7,50
2,3,7,11,0,2,3,31,12,24,1,2,5,5,0,1,1,28,5,46
3,5,5,6,0,4,2,33,17,20,1,2,4,6,0,2,1,31,9,38
1,0,1,6,0,0,1,48,13,24,1,1,5,7,0,1,1,33,10,34
2,3,6,9,0,3,4,38,16,15,1,2,4,9,0,1,1,21,10,45
2,3,7,16,1,2,4,27,23,9,1,1,2,7,1,1,1,37,8,36
1,3,5,8,1,3,2,34,14,23,2,5,3,5,0,3,2,21,9,45
2,2,1,10,0,3,0,40,15,21,1,3,5,5,0,1,3,31,13,32
1,3,6,7,0,2,2,46,12,15,1,2,4,6,1,1,1,38,3,39
2,3,4,9,0,2,2,43,13,19,1,2,3,5,1,1,2,28,9,44
1,3,3,9,1,2,2,35,13,30,0,2,3,8,0,1,2,29,10,40
2,2,5,6,1,1,4,51,13,11,0,1,2,7,1,0,1,27,7,50
2,1,9,11,0,1,1,50,12,9,1,2,5,7,0,1,1,32,10,36
2,1,4,7,0,0,2,57,15,6,0,2,4,7,1,0,2,48,12,19
3,5,9,19,0,3,5,6,24,22,0,0,0,0,0,0,0,0,0,0
0,0,12,9,0,0,0,42,9,24,2,2,4,7,0,1,1,36,11,31
2,4,8,8,0,2,4,44,11,13,1,2,4,7,0,1,2,33,8,37
2,3,4,5,0,3,1,49,15,13,2,3,3,5,0,3,1,14,6,59
3,1,7,7,1,4,1,49,11,11,1,3,4,4,0,1,2,31,6,43
2,4,10,10,0,2,2,31,12,21,1,2,4,6,0,2,1,42,13,23
2,4,4,7,0,2,2,47,15,11,1,2,4,6,0,2,1,30,11,38
4,4,6,9,1,3,2,29,16,22,3,3,4,6,0,3,1,27,10,39
1,4,6,6,0,2,2,36,12,26,1,3,3,8,1,2,2,34,9,33
1,3,7,8,0,3,3,36,16,17,0,2,4,8,0,0,2,21,8,51
1,2,5,7,0,1,1,49,15,14,1,1,3,7,1,0,1,35,8,38
5,3,10,15,0,4,3,26,9,19,1,2,7,8,0,2,1,31,14,27
0,1,7,9,0,1,2,42,15,18,1,2,4,6,1,1,2,22,7,49
2,1,7,9,0,2,1,38,12,23,1,2,3,6,0,1,2,40,14,27
2,2,4,8,0,2,2,45,14,15,1,3,3,6,0,2,1,22,8,49
1,1,5,6,0,1,2,45,15,19,1,2,4,6,0,1,1,29,10,40
2,2,7,9,0,2,3,45,14,10,1,3,3,10,0,1,3,26,9,39
1,2,9,7,0,1,2,51,11,12,0,2,3,5,0,0,1,23,9,51
1,3,11,10,0,1,2,44,11,13,2,3,2,9,0,1,3,26,7,42
3,2,10,9,1,3,1,30,19,17,0,1,4,7,1,1,1,42,15,23
2,3,5,9,0,3,2,36,13,23,2,4,3,7,0,2,3,15,7,52
1,3,6,6,0,2,2,38,12,25,1,3,3,5,0,1,2,23,6,52
1,2,7,9,0,2,1,37,14,22,2,2,3,6,0,2,1,36,10,34
1,3,5,9,0,1,3,37,14,21,1,1,2,6,0,2,1,32,9,41
1,0,10,6,0,0,0,31,10,37,4,3,4,8,1,3,1,28,9,34
3,3,6,9,0,3,2,35,16,20,1,3,2,5,0,2,1,26,4,51
1,2,8,9,1,1,2,46,14,11,1,2,4,8,1,1,1,26,8,42
1,3,15,8,0,1,4,31,15,17,0,1,28,6,0,1,1,19,4,34
1,1,7,11,0,1,2,39,16,17,0,2,5,8,0,1,2,26,9,43
3,2,7,11,3,2,1,31,17,15,3,2,2,7,0,3,2,30,9,37
2,3,8,8,1,2,3,48,13,7,1,4,4,5,0,2,2,27,5,45
4,0,0,2,0,4,0,43,10,33,0,1,4,6,0,0,1,40,10,32
2,5,8,8,0,2,5,28,11,24,1,3,5,8,0,2,2,23,10,41
2,2,5,11,2,1,1,42,13,17,1,2,3,5,0,1,2,38,12,29
2,0,5,8,0,2,0,49,8,21,1,3,4,7,0,2,2,26,10,41
2,2,4,12,1,2,2,44,13,12,1,2,3,6,1,0,2,34,9,35
5,3,6,9,0,3,2,34,16,18,1,3,4,7,1,1,2,32,12,31
3,2,7,12,1,3,2,26,13,26,0,4,3,5,0,1,3,32,8,40
3,4,5,18,0,3,4,35,13,9,1,2,3,10,0,2,1,22,5,49
2,3,2,7,0,1,2,50,11,16,2,2,3,10,0,2,1,26,9,39
2,3,6,9,0,2,2,44,15,12,2,3,4,4,1,1,1,23,8,49
2,2,6,6,1,0,2,37,11,27,2,3,4,8,1,2,1,31,11,33
1,3,6,6,0,1,2,53,11,11,1,2,6,3,0,1,1,24,8,47
3,5,6,17,0,2,5,32,16,10,0,4,6,11,0,0,4,29,12,28
1,2,5,8,1,1,2,53,11,11,1,2,6,7,1,1,1,22,9,44
2,4,7,9,0,2,3,43,12,13,1,3,5,5,1,1,2,16,10,52
1,2,6,9,0,1,2,41,15,18,0,1,4,7,1,1,0,16,9,56
2,4,6,16,1,2,4,26,15,19,0,2,4,10,1,1,1,26,11,39
2,1,4,12,0,3,1,35,16,20,1,2,2,7,0,1,1,33,10,37
1,1,8,8,0,1,1,48,13,14,0,2,4,5,1,0,1,46,10,27
2,3,7,10,1,2,2,16,13,40,1,3,5,10,0,2,1,27,9,38
2,0,5,5,0,2,2,43,19,17,0,2,4,6,0,1,1,41,12,27
0,3,4,15,0,1,4,33,17,18,1,1,3,10,1,0,1,29,11,38
2,2,9,9,1,3,3,39,17,10,2,3,5,10,0,1,2,20,10,42
1,2,6,8,0,1,3,37,18,18,1,3,2,4,0,2,1,23,7,52
1,2,7,6,0,1,2,39,20,16,1,3,4,7,1,1,2,25,9,41
2,3,5,6,0,3,2,36,22,14,0,1,5,4,0,0,0,37,11,36
0,0,0,0,0,0,0,46,0,46,0,2,5,5,0,1,1,26,13,41
3,4,6,15,1,5,2,27,12,21,1,2,3,7,1,2,1,25,8,44
3,5,7,7,0,4,4,33,16,16,2,3,4,5,0,3,1,15,10,52
1,2,4,8,0,1,2,47,14,14,2,2,2,7,0,1,1,31,7,43
2,3,7,9,0,1,1,32,21,19,5,2,2,9,1,1,2,36,9,27
1,3,9,7,0,1,3,49,13,9,1,3,3,4,0,1,2,27,8,44
2,4,10,9,0,3,2,15,20,32,2,2,5,9,0,3,2,40,15,16
1,2,7,10,0,0,4,53,8,11,0,2,3,6,0,1,1,26,8,48
3,3,5,7,0,2,2,47,15,11,2,3,4,5,0,2,1,27,10,40
1,4,7,9,0,1,6,33,18,17,1,2,5,7,1,1,2,38,14,24
4,3,21,10,0,3,5,14,18,17,0,0,0,0,0,0,0,0,0,0
2,3,7,8,0,2,2,43,13,16,1,2,3,8,0,0,1,21,9,50
3,3,8,9,0,3,2,38,15,16,1,2,3,5,0,1,2,34,10,37
0,0,5,5,0,0,0,49,14,25,1,2,4,7,0,1,1,38,13,29
2,1,7,9,0,2,1,38,12,23,1,2,3,6,0,1,2,40,14,27
1,2,4,7,1,2,1,49,14,15,1,1,3,8,1,1,0,28,11,40
3,4,6,7,0,4,2,27,14,28,1,2,3,6,0,2,1,24,9,47
3,2,8,7,1,4,1,28,11,28,1,3,4,10,1,2,2,25,9,38
1,3,7,7,0,1,5,18,20,33,1,3,5,6,0,2,1,34,13,32
2,4,7,11,1,2,3,32,17,15,0,2,5,4,0,1,1,26,7,49
2,3,7,7,0,2,2,43,15,13,0,1,2,5,0,0,1,40,5,40
1,3,2,21,1,2,0,21,6,36,1,4,4,9,0,1,3,33,7,32
2,2,5,15,1,2,4,17,19,28,0,2,5,5,0,1,2,27,10,43
2,2,8,9,0,2,1,41,15,15,0,2,3,8,1,1,1,30,6,43
3,3,9,11,0,3,1,19,16,29,2,3,3,8,0,2,1,26,9,41
0,1,5,6,0,0,1,47,15,20,1,1,3,4,0,1,1,32,8,44
1,4,7,9,1,3,5,47,10,8,0,3,6,6,0,1,2,25,11,41
3,0,3,19,3,7,0,17,17,23,1,2,4,8,0,2,1,29,11,37
1,3,6,6,0,2,4,37,20,15,1,2,3,7,1,1,1,24,9,46
2,3,6,13,0,2,3,34,12,20,1,2,5,11,0,1,2,30,13,31
3,3,7,10,0,3,1,37,16,14,2,2,6,6,0,2,0,33,7,39
2,2,9,9,0,1,2,38,15,16,2,1,3,8,0,0,1,21,10,50
1,3,8,10,1,0,4,30,14,24,2,3,3,8,0,2,2,21,8,47
2,4,4,7,0,4,4,33,16,22,1,2,2,6,0,1,1,33,8,42
1,2,6,9,0,2,2,47,12,14,0,2,2,6,0,0,1,30,6,47
1,4,5,9,1,2,3,40,11,20,1,3,3,6,1,2,3,16,8,52
1,0,8,9,0,1,1,42,15,18,2,1,4,7,0,1,0,43,11,26
